name,latitude,longitude
Oriental Game Limited,14.53395565,121.0231694
Far Eastern Capital Limited,14.55635656,121.021268
Marco Polo Enterprises Limited,14.55776705,121.0206212
Imperial Choice Limited,14.56028594,121.0129675
Libo Consolidated Limited,14.55859484,121.0197153
Fortuneport Enterprises Limited,14.56028594,121.0129675
SC World Development Group Limited,14.55859484,121.0197153
Golden Dragon Empire Limited,14.55910681,121.0101568
VIP Global Solutions Limited,14.56028594,121.0129675
MG Universal Link Limited,14.55859484,121.0197153
AG Interpacific Resources Limited,14.55910681,121.0101568
BBIN International Limited,,
Eastern Hawaii Leisure Company Limited,14.55859484,121.0197153
PT Transpacific Company Limited,14.55788729,121.0142257
OG Global Access Limited,14.55859484,121.0197153
Dynamic System Limited,14.55909948,121.0205297
Leading Reward Limited,14.56014756,121.0203128
Kingwell International Group Limited,14.56090119,121.0170587
Defun Global Investment,14.51924845,121.0182572
Inner Strong Limited,14.51905769,121.0180499
Four Leaf Technology Inc.,14.51905769,121.0180499
Smarc Group International Limited,14.83083062,120.2805797
Ximax Holding Limited,14.51905769,121.0180499
Puerto Galera Holdings Ltd.,14.64186192,121.0398618
New Wave Infotech Limited,14.81806987,120.2802563
Xionwei Technology Co. Ltd. Inc,14.58206095,120.9858286
NewLink Pacific Limited,14.32646263,120.9407012
Pride Fortune Limited,14.5516501,121.0121498
OLE Group International Limited,14.5556452,121.0145806
Prestige IOM Limited,14.55859484,121.0197153
Wilshire Worldwide Company Limited,14.53571634,120.991172
Wanfang Technology Management Limited,14.55859484,121.0197153
Giant Gains Solutions Inc.,14.55788729,121.0142257
Full Strength Trading Limited,14.55463749,121.0145998
Swanston Asia Inc.,14.56515615,121.0128556
Don Tencess Asian Services Solution Inc.,14.57146665,120.9841271
Vertex Digital Entertainment Technologies Inc.,14.5340875,120.9897065
Winherld Entertainment World Limited,14.53620046,120.9912175
Blue Frog Contents & Support Inc.,10.33298014,123.9100582
Jolie Investments Limited,10.32238746,123.9351659
Sohu Expert Intâ€™l Management Solutions Inc.,14.59068893,120.9845569
Micro Info Systems Ltd,14.55859484,121.0197153
King Rich International Group Limited,14.55859484,121.0197153
Most Success International Group Limited,14.53243666,121.0076075
High Zone Capital Investment Group Limited,14.55859484,121.0197153
Cosmic Ace Holdings Ltd.,14.82396991,120.2988693
Smile World Global Limited,14.55859484,121.0197153
Riesling Capital Limited,14.42840723,120.9436459
Kirschner Games International Inc.,14.24230168,121.0445906
Saint Wealth Ltd.,15.19302108,120.5220708
Tech Innovation Management Limited,14.57365339,120.9825079
Single Yard Holdings Ltd.,14.54890355,120.9911208
Synchronization Anywhere for You Inc.,14.53449675,120.9906936
SA Dreamtech Group International Technology,14.55910681,121.0101568
"Benestar Co., Ltd.",14.43570773,121.0096525
BestBetInNet Limited,14.55910681,121.0101568
Blessed Dragon Limited,10.33329778,123.943805
Dragon Wealth System Inc.,14.57101572,121.0501275
Easy Access Limited,14.55802443,121.027466
Full Advantage Investments Limited,14.52143705,120.9891158
Gambol Leisure and Amusement Inc.,10.3415529,123.9204139
Genx Sports International Limited,14.63171912,121.0535243
Giant Isle Group Limited,14.53445025,121.0034526
Golden Dreamer Holdings Limited,14.53690529,120.9888096
Great-Gaming International Corp.,10.33608255,123.9342578
Hk Feibiai International Group Limited,14.45991551,121.0304448
Infiniweb Technology Inc.,14.54307615,120.9968705
Lebo Limited,14.55859484,121.0197153
Philippine Cockfighting International Inc.,15.20231644,120.6101334
Philsync Technologies Limited,15.02278735,120.6726595
Shaw Global Leisure Ltd.,14.59329773,121.0290849
66 Global Solutions Inc.,14.54159311,120.9927396
888 World Solutions Inc.,,
Bigger Success Limited,,
Hongsheng Gaming Technology,15.29821974,120.5486535
Lucky South99 Outsourcing Inc.,15.13565838,120.5523085
TG System Resources Limited Corp.,,
Axria Technologies Inc.,14.55789767,121.0142471
Daxifa Corporation,14.64625179,121.0280281
KNW Technology Inc.,14.57574526,121.0499245